question,optionA,optionB,optionC,optionD,solution
Bromine is a,Black solid,Red liquid,Colourless gas,Highly inflammable gas,2
Who had a hit in the 2000s with 'I Don't Feel Like Dancin'?,Scissor Sisters,Duran Duran,Michael Jackson,Madonna,1
Light year is a unit of,time,light,distance,intensity of light,3
Buddhists traditionally do which of the following on Vesak the holiday celebrating the birth  life and death of Buddha?,Compose songs,Prune Shrubs,Burn old clothes,Release animals,4
How many people are killed by tigers each year?,5,10,56,72,3
Name the book which opens with the line 'All children except one grew up'?,The Railway Children,Winnie the Pooh,Jungle Book,Peter Pan,4
Who is the Greek Goddess of love?,Aphrodite,Cupid,Artemis,Athena,1
The reason that civilization appeared at an early date in the Middle East was that,settled agriculture  had emerged there,There were no hunting and gathering societies in the region,There was a higher concentration of humans in this region than anywhere else,It was the only region in the world to develop sedentary agriculture,1
On the animated sitcom 'The Simpsons' who shot Mr. Burns?,Bart,Homer,Maggie,Marge,3
In which city was the American legal comedy-drama television series Ally McBeal set?,New York,Boston,Chicago,Seattle,2
What is etymology,The history of a word,The various ways in which a word can be pronounced,The study of unwritten languages,The study of dead languages,1
Who founded the Red Cross?,Alfred Bernard Nobel,Jean Paul Sartre,Henry Dunant,Victor Hugo,3
Who is the youngest recipient of a Nielsen Book Platinum Award for selling one million copies  for her book 'PS I Love You'?,Cecelia Ahern,Judith McNaught,Danielle Steele,Philippa Gregory,1
Which John Steinbeck novel revolves around the characters Lenny and George?,Of Mice and Men,The Pearl,The Grapes of Wrath,The Expendables,1
Which of the following people did NOT contribute to writing the song 'Diamonds'  sung by Rihanna?,Sia Furler,Benjamin Levin,Paul Epworth,Tor Erik Hermansen,3
When did the Cuban revolution happen?,1943-1949,1973-1979,1953-1959,1963-1969,3
Who is the oldest of the Pevensie children in C S Lewis's 'The Lion the Witch and the Wardrobe'?,Susan,Peter,Aslan,Lucy,2
The largest glaciers are,mountain glaciers,alpine glaciers,continental glaciers,piedmont glaciers,3
What object appears on the top of the Men's Singles Championship Trophy?,Apple,Pineapple,Orange,Durian,2
